Date,Open,High,Low,Close,Adj Close,Volume
11/22/2021,161.679993,165.699997,161,161.020004,160.815109,117467900
11/23/2021,161.119995,161.800003,159.059998,161.410004,161.20462,96041900
11/24/2021,160.75,162.139999,159.639999,161.940002,161.733948,69463600
11/26/2021,159.570007,160.449997,156.360001,156.809998,156.610474,76959800
11/29/2021,159.369995,161.190002,158.789993,160.240005,160.036102,88748200
11/30/2021,159.990005,165.520004,159.919998,165.300003,165.089676,174048100
12/1/2021,167.479996,170.300003,164.529999,164.770004,164.560349,152052500
12/2/2021,158.740005,164.199997,157.800003,163.759995,163.55162,136739200
12/3/2021,164.020004,164.960007,159.720001,161.839996,161.634064,117938300
12/6/2021,164.289993,167.880005,164.279999,165.320007,165.10965,107497000
12/7/2021,169.080002,171.580002,168.339996,171.179993,170.962173,120405400
12/8/2021,172.130005,175.960007,170.699997,175.080002,174.857224,116998900
12/9/2021,174.910004,176.75,173.919998,174.559998,174.337875,108923700
12/10/2021,175.210007,179.630005,174.690002,179.449997,179.221664,115228100
12/13/2021,181.119995,182.130005,175.529999,175.740005,175.516388,153237000
12/14/2021,175.25,177.740005,172.210007,174.330002,174.108185,139380400
12/15/2021,175.110001,179.5,172.309998,179.300003,179.071854,131063300
12/16/2021,179.279999,181.139999,170.75,172.259995,172.040802,150185800
12/17/2021,169.929993,173.470001,169.690002,171.139999,170.922241,195432700
12/20/2021,168.279999,170.580002,167.460007,169.75,169.533997,107499100
12/21/2021,171.559998,173.199997,169.119995,172.990005,172.769882,91185900
12/22/2021,173.039993,175.860001,172.149994,175.639999,175.416504,92135300
12/23/2021,175.850006,176.850006,175.270004,176.279999,176.055695,68356600
12/27/2021,177.089996,180.419998,177.070007,180.330002,180.10054,74919600
12/28/2021,180.160004,181.330002,178.529999,179.289993,179.061859,79144300
12/29/2021,179.330002,180.630005,178.139999,179.380005,179.151749,62348900
12/30/2021,179.470001,180.570007,178.089996,178.199997,177.973251,59773000
12/31/2021,178.089996,179.229996,177.259995,177.570007,177.344055,64062300
